model,question,correct,seconds,prompt_chars
Llama3.2-3B Q6_K,522,1,0.1522,137
Llama3.2-3B Q6_K,523,0,0.2226,529
Llama3.2-3B Q6_K,524,1,0.2228,431
Llama3.2-3B Q6_K,525,1,0.1547,129
Llama3.2-3B Q6_K,526,1,0.2188,315
Llama3.2-3B Q6_K,527,0,0.2183,265
Llama3.2-3B Q6_K,528,1,0.1583,242
Llama3.2-3B Q6_K,529,1,0.2196,300
Llama3.2-3B Q6_K,530,0,0.1570,226
Llama3.2-3B Q6_K,531,1,0.2179,383
Llama3.2-3B Q6_K,532,1,0.2236,398
Llama3.2-3B Q6_K,533,1,0.1530,160
Llama3.2-3B Q6_K,534,1,0.1498,177
Llama3.2-3B Q6_K,535,0,0.1534,119
Llama3.2-3B Q6_K,536,1,0.1620,183
Llama3.2-3B Q6_K,537,0,0.1532,290
Llama3.2-3B Q6_K,538,0,0.1540,285
Llama3.2-3B Q6_K,539,1,0.1594,286
Llama3.2-3B Q6_K,540,0,0.1541,244
Llama3.2-3B Q6_K,541,1,0.2278,308
Llama3.2-3B Q6_K,542,1,0.2223,296
Llama3.2-3B Q6_K,543,1,0.2318,570
Llama3.2-3B Q6_K,544,0,0.4082,843
Llama3.2-3B Q6_K,545,1,0.1561,184
Llama3.2-3B Q6_K,546,0,0.1570,202
Llama3.2-3B Q6_K,547,1,0.1519,124
Llama3.2-3B Q6_K,548,0,0.2206,299
Llama3.2-3B Q6_K,549,1,0.1558,196
Llama3.2-3B Q6_K,550,1,0.1566,200
Llama3.2-3B Q6_K,551,0,0.1542,206
Llama3.2-3B Q6_K,552,1,0.1594,274
Llama3.2-3B Q6_K,553,1,0.1179,88
Llama3.2-3B Q6_K,554,1,0.2228,292
Llama3.2-3B Q6_K,555,1,0.1570,251
Llama3.2-3B Q6_K,556,1,0.2253,553
Llama3.2-3B Q6_K,557,1,0.2272,388
Llama3.2-3B Q6_K,558,1,0.1539,176
Llama3.2-3B Q6_K,559,1,0.1527,159
Llama3.2-3B Q6_K,560,1,0.2199,374
Llama3.2-3B Q6_K,561,1,0.1545,206
Llama3.2-3B Q6_K,562,1,0.1584,174
Llama3.2-3B Q6_K,563,0,0.2281,556
Llama3.2-3B Q6_K,564,1,0.1557,197
Llama3.2-3B Q6_K,565,1,0.2247,370
Llama3.2-3B Q6_K,566,1,0.2249,490
Llama3.2-3B Q6_K,567,1,0.1541,154
Llama3.2-3B Q6_K,568,1,0.2229,299
Llama3.2-3B Q6_K,569,1,0.1558,245
Llama3.2-3B Q6_K,570,0,0.1563,264
Llama3.2-3B Q6_K,571,1,0.1574,149
Llama3.2-3B Q6_K,572,1,0.1540,158
Llama3.2-3B Q6_K,573,0,0.2238,348
Llama3.2-3B Q6_K,574,1,0.4096,640
Llama3.2-3B Q6_K,575,1,0.1577,90
Llama3.2-3B Q6_K,576,1,0.1560,198
Llama3.2-3B Q6_K,577,1,0.2274,493
Llama3.2-3B Q6_K,578,0,0.1598,162
Llama3.2-3B Q6_K,579,1,0.2205,319
Llama3.2-3B Q6_K,580,1,0.1546,171
Llama3.2-3B Q6_K,581,1,0.1581,287
Llama3.2-3B Q6_K,582,1,0.1526,139
Llama3.2-3B Q6_K,583,1,0.1528,252
Llama3.2-3B Q6_K,584,1,0.4055,659
Llama3.2-3B Q6_K,585,1,0.1569,263
Llama3.2-3B Q6_K,586,1,0.1553,200
Llama3.2-3B Q6_K,587,1,0.1544,190
Llama3.2-3B Q6_K,588,1,0.4124,607
Llama3.2-3B Q6_K,589,1,0.1572,145
Llama3.2-3B Q6_K,590,1,0.2254,336
Llama3.2-3B Q6_K,591,1,0.1531,148
Llama3.2-3B Q6_K,592,1,0.1527,120
Llama3.2-3B Q6_K,593,1,0.1535,171
Llama3.2-3B Q6_K,594,1,0.1558,259
Llama3.2-3B Q6_K,595,1,0.1582,281
Llama3.2-3B Q6_K,596,0,0.2198,222
Llama3.2-3B Q6_K,597,1,0.2224,374
Llama3.2-3B Q6_K,598,1,0.2327,428
Llama3.2-3B Q6_K,599,0,0.2325,571
Llama3.2-3B Q6_K,600,1,0.1592,235
Llama3.2-3B Q6_K,601,1,0.1201,92
