model,question,correct,seconds,prompt_chars
glm-edge-1.5b Q5_K_M,244,0,0.1203,399
glm-edge-1.5b Q5_K_M,245,1,0.0797,273
glm-edge-1.5b Q5_K_M,246,1,0.0769,247
glm-edge-1.5b Q5_K_M,247,0,0.1184,328
glm-edge-1.5b Q5_K_M,248,1,0.0803,185
glm-edge-1.5b Q5_K_M,249,0,0.0757,137
glm-edge-1.5b Q5_K_M,250,1,0.0792,224
glm-edge-1.5b Q5_K_M,251,1,0.1207,413
glm-edge-1.5b Q5_K_M,252,0,0.1131,323
glm-edge-1.5b Q5_K_M,253,1,0.0775,174
glm-edge-1.5b Q5_K_M,254,1,0.1181,314
glm-edge-1.5b Q5_K_M,255,0,0.0784,217
glm-edge-1.5b Q5_K_M,256,1,0.0775,136
glm-edge-1.5b Q5_K_M,257,0,0.1229,494
glm-edge-1.5b Q5_K_M,258,1,0.1172,328
glm-edge-1.5b Q5_K_M,259,0,0.1232,224
glm-edge-1.5b Q5_K_M,260,1,0.1200,314
glm-edge-1.5b Q5_K_M,261,1,0.0801,181
glm-edge-1.5b Q5_K_M,262,1,0.1163,289
glm-edge-1.5b Q5_K_M,263,1,0.0778,146
glm-edge-1.5b Q5_K_M,264,0,0.1111,253
glm-edge-1.5b Q5_K_M,265,1,0.1155,300
glm-edge-1.5b Q5_K_M,266,1,0.0773,206
glm-edge-1.5b Q5_K_M,267,0,0.1169,263
glm-edge-1.5b Q5_K_M,268,1,0.1166,356
glm-edge-1.5b Q5_K_M,269,1,0.2160,946
glm-edge-1.5b Q5_K_M,270,1,0.0826,254
glm-edge-1.5b Q5_K_M,271,1,0.0557,112
glm-edge-1.5b Q5_K_M,272,1,0.0800,201
glm-edge-1.5b Q5_K_M,273,1,0.0793,244
glm-edge-1.5b Q5_K_M,274,1,0.0767,236
glm-edge-1.5b Q5_K_M,275,0,0.1177,349
glm-edge-1.5b Q5_K_M,276,1,0.1160,178
glm-edge-1.5b Q5_K_M,277,1,0.0785,244
glm-edge-1.5b Q5_K_M,278,1,0.1205,391
glm-edge-1.5b Q5_K_M,279,1,0.0800,235
glm-edge-1.5b Q5_K_M,280,0,0.1143,160
glm-edge-1.5b Q5_K_M,281,1,0.1160,392
glm-edge-1.5b Q5_K_M,282,1,0.0812,264
glm-edge-1.5b Q5_K_M,283,1,0.0773,211
glm-edge-1.5b Q5_K_M,284,1,0.1198,444
glm-edge-1.5b Q5_K_M,285,0,0.0785,147
glm-edge-1.5b Q5_K_M,286,1,0.1133,336
glm-edge-1.5b Q5_K_M,287,0,0.1166,290
glm-edge-1.5b Q5_K_M,288,1,0.0778,213
