model,question,correct,seconds,prompt_chars
Qwen2.5-1.5B Q6_K,180,1,0.0894,143
Qwen2.5-1.5B Q6_K,181,1,0.1289,380
Qwen2.5-1.5B Q6_K,182,0,0.0840,169
Qwen2.5-1.5B Q6_K,183,1,0.1269,353
Qwen2.5-1.5B Q6_K,184,1,0.1263,382
Qwen2.5-1.5B Q6_K,185,1,0.1320,573
Qwen2.5-1.5B Q6_K,186,1,0.1325,473
Qwen2.5-1.5B Q6_K,187,0,0.1325,287
Qwen2.5-1.5B Q6_K,188,1,0.0885,179
Qwen2.5-1.5B Q6_K,189,1,0.0902,235
Qwen2.5-1.5B Q6_K,190,0,0.0911,246
Qwen2.5-1.5B Q6_K,191,0,0.1255,294
Qwen2.5-1.5B Q6_K,192,1,0.0912,174
Qwen2.5-1.5B Q6_K,193,1,0.1262,372
Qwen2.5-1.5B Q6_K,194,1,0.1281,423
Qwen2.5-1.5B Q6_K,195,1,0.0922,263
Qwen2.5-1.5B Q6_K,196,1,0.1313,434
Qwen2.5-1.5B Q6_K,197,0,0.1271,305
Qwen2.5-1.5B Q6_K,198,1,0.1260,319
Qwen2.5-1.5B Q6_K,199,1,0.0907,236
Qwen2.5-1.5B Q6_K,200,1,0.0932,285
Qwen2.5-1.5B Q6_K,201,1,0.0924,350
Qwen2.5-1.5B Q6_K,202,1,0.0871,148
Qwen2.5-1.5B Q6_K,203,1,0.0912,271
Qwen2.5-1.5B Q6_K,204,1,0.0879,241
Qwen2.5-1.5B Q6_K,205,0,0.1269,185
Qwen2.5-1.5B Q6_K,206,1,0.1273,375
Qwen2.5-1.5B Q6_K,207,1,0.1288,443
Qwen2.5-1.5B Q6_K,208,1,0.1285,361
Qwen2.5-1.5B Q6_K,209,1,0.0859,223
Qwen2.5-1.5B Q6_K,210,1,0.0903,251
Qwen2.5-1.5B Q6_K,211,0,0.1307,290
Qwen2.5-1.5B Q6_K,212,1,0.0895,254
Qwen2.5-1.5B Q6_K,213,1,0.1274,407
Qwen2.5-1.5B Q6_K,214,1,0.1295,476
Qwen2.5-1.5B Q6_K,215,1,0.1279,294
Qwen2.5-1.5B Q6_K,216,1,0.0895,241
Qwen2.5-1.5B Q6_K,217,0,0.1283,262
Qwen2.5-1.5B Q6_K,218,1,0.0810,91
Qwen2.5-1.5B Q6_K,219,1,0.0912,274
Qwen2.5-1.5B Q6_K,220,1,0.0903,274
Qwen2.5-1.5B Q6_K,221,1,0.1273,335
Qwen2.5-1.5B Q6_K,222,0,0.0874,184
Qwen2.5-1.5B Q6_K,223,1,0.1271,334
Qwen2.5-1.5B Q6_K,224,1,0.0870,156
Qwen2.5-1.5B Q6_K,225,1,0.1281,355
Qwen2.5-1.5B Q6_K,226,1,0.1336,382
Qwen2.5-1.5B Q6_K,227,1,0.1241,340
Qwen2.5-1.5B Q6_K,228,1,0.0884,172
