model,question,correct,seconds,prompt_chars
Qwen2.5-1.5B Q5_K_M,183,1,0.1148,353
Qwen2.5-1.5B Q5_K_M,184,1,0.1139,382
Qwen2.5-1.5B Q5_K_M,185,1,0.1293,573
Qwen2.5-1.5B Q5_K_M,186,1,0.1166,473
Qwen2.5-1.5B Q5_K_M,187,0,0.1182,287
Qwen2.5-1.5B Q5_K_M,188,1,0.0761,179
Qwen2.5-1.5B Q5_K_M,189,1,0.0788,235
Qwen2.5-1.5B Q5_K_M,190,0,0.0795,246
Qwen2.5-1.5B Q5_K_M,191,0,0.1144,294
Qwen2.5-1.5B Q5_K_M,192,1,0.0795,174
Qwen2.5-1.5B Q5_K_M,193,1,0.1150,372
Qwen2.5-1.5B Q5_K_M,194,1,0.1133,423
Qwen2.5-1.5B Q5_K_M,195,1,0.0783,263
Qwen2.5-1.5B Q5_K_M,196,1,0.1177,434
Qwen2.5-1.5B Q5_K_M,197,0,0.1136,305
Qwen2.5-1.5B Q5_K_M,198,1,0.1118,319
Qwen2.5-1.5B Q5_K_M,199,1,0.0787,236
Qwen2.5-1.5B Q5_K_M,200,1,0.0817,285
Qwen2.5-1.5B Q5_K_M,201,1,0.0967,350
Qwen2.5-1.5B Q5_K_M,202,1,0.0927,148
Qwen2.5-1.5B Q5_K_M,203,1,0.0759,271
Qwen2.5-1.5B Q5_K_M,204,1,0.0774,241
Qwen2.5-1.5B Q5_K_M,205,1,0.1134,185
Qwen2.5-1.5B Q5_K_M,206,1,0.1139,375
Qwen2.5-1.5B Q5_K_M,207,1,0.1156,443
Qwen2.5-1.5B Q5_K_M,208,1,0.1112,361
Qwen2.5-1.5B Q5_K_M,209,1,0.0767,223
Qwen2.5-1.5B Q5_K_M,210,1,0.0785,251
Qwen2.5-1.5B Q5_K_M,211,0,0.1183,290
Qwen2.5-1.5B Q5_K_M,212,1,0.0803,254
Qwen2.5-1.5B Q5_K_M,213,1,0.1148,407
Qwen2.5-1.5B Q5_K_M,214,1,0.1159,476
Qwen2.5-1.5B Q5_K_M,215,1,0.1134,294
Qwen2.5-1.5B Q5_K_M,216,1,0.0764,241
Qwen2.5-1.5B Q5_K_M,217,0,0.1110,262
Qwen2.5-1.5B Q5_K_M,218,1,0.0578,91
Qwen2.5-1.5B Q5_K_M,219,1,0.0792,274
Qwen2.5-1.5B Q5_K_M,220,1,0.0791,274
Qwen2.5-1.5B Q5_K_M,221,1,0.1130,335
Qwen2.5-1.5B Q5_K_M,222,0,0.0786,184
Qwen2.5-1.5B Q5_K_M,223,1,0.1105,334
Qwen2.5-1.5B Q5_K_M,224,1,0.0765,156
Qwen2.5-1.5B Q5_K_M,225,1,0.1145,355
Qwen2.5-1.5B Q5_K_M,226,1,0.1141,382
Qwen2.5-1.5B Q5_K_M,227,1,0.1120,340
Qwen2.5-1.5B Q5_K_M,228,1,0.0771,172
Qwen2.5-1.5B Q5_K_M,229,1,0.0798,286
Qwen2.5-1.5B Q5_K_M,230,1,0.1931,676
Qwen2.5-1.5B Q5_K_M,231,1,0.2059,928
Qwen2.5-1.5B Q5_K_M,232,1,0.0782,207
Qwen2.5-1.5B Q5_K_M,233,1,0.0793,91
Qwen2.5-1.5B Q5_K_M,234,0,0.0772,173
Qwen2.5-1.5B Q5_K_M,235,1,0.0764,239
Qwen2.5-1.5B Q5_K_M,236,1,0.0808,274
Qwen2.5-1.5B Q5_K_M,237,0,0.1107,314
Qwen2.5-1.5B Q5_K_M,238,1,0.1177,415
Qwen2.5-1.5B Q5_K_M,239,1,0.0778,206
Qwen2.5-1.5B Q5_K_M,240,0,0.0782,239
Qwen2.5-1.5B Q5_K_M,241,1,0.1120,317
Qwen2.5-1.5B Q5_K_M,242,1,0.0846,266
Qwen2.5-1.5B Q5_K_M,243,1,0.0849,156
Qwen2.5-1.5B Q5_K_M,244,0,0.1158,399
Qwen2.5-1.5B Q5_K_M,245,1,0.0819,273
Qwen2.5-1.5B Q5_K_M,246,1,0.0854,247
Qwen2.5-1.5B Q5_K_M,247,0,0.1109,328
Qwen2.5-1.5B Q5_K_M,248,0,0.0743,185
Qwen2.5-1.5B Q5_K_M,249,1,0.0719,137
Qwen2.5-1.5B Q5_K_M,250,1,0.0773,224
Qwen2.5-1.5B Q5_K_M,251,0,0.1150,413
Qwen2.5-1.5B Q5_K_M,252,1,0.1159,323
Qwen2.5-1.5B Q5_K_M,253,1,0.0755,174
Qwen2.5-1.5B Q5_K_M,254,0,0.1127,314
Qwen2.5-1.5B Q5_K_M,255,0,0.0768,217
Qwen2.5-1.5B Q5_K_M,256,1,0.0763,136
Qwen2.5-1.5B Q5_K_M,257,1,0.1164,494
Qwen2.5-1.5B Q5_K_M,258,1,0.1141,328
Qwen2.5-1.5B Q5_K_M,259,0,0.1132,224
Qwen2.5-1.5B Q5_K_M,260,1,0.1115,314
Qwen2.5-1.5B Q5_K_M,261,1,0.0757,181
Qwen2.5-1.5B Q5_K_M,262,1,0.1167,289
Qwen2.5-1.5B Q5_K_M,263,0,0.0766,146
Qwen2.5-1.5B Q5_K_M,264,1,0.0800,253
Qwen2.5-1.5B Q5_K_M,265,0,0.1140,300
Qwen2.5-1.5B Q5_K_M,266,1,0.0768,206
Qwen2.5-1.5B Q5_K_M,267,1,0.0752,263
Qwen2.5-1.5B Q5_K_M,268,1,0.1201,356
Qwen2.5-1.5B Q5_K_M,269,1,0.2040,946
Qwen2.5-1.5B Q5_K_M,270,1,0.0893,254
Qwen2.5-1.5B Q5_K_M,271,1,0.0633,112
Qwen2.5-1.5B Q5_K_M,272,1,0.0896,201
Qwen2.5-1.5B Q5_K_M,273,1,0.0889,244
Qwen2.5-1.5B Q5_K_M,274,1,0.0895,236
Qwen2.5-1.5B Q5_K_M,275,0,0.1166,349
Qwen2.5-1.5B Q5_K_M,276,1,0.0838,178
Qwen2.5-1.5B Q5_K_M,277,1,0.0849,244
Qwen2.5-1.5B Q5_K_M,278,1,0.1214,391
Qwen2.5-1.5B Q5_K_M,279,1,0.0786,235
Qwen2.5-1.5B Q5_K_M,280,1,0.1156,160
Qwen2.5-1.5B Q5_K_M,281,1,0.1414,392
Qwen2.5-1.5B Q5_K_M,282,0,0.1019,264
Qwen2.5-1.5B Q5_K_M,283,1,0.0957,211
Qwen2.5-1.5B Q5_K_M,284,1,0.1369,444
Qwen2.5-1.5B Q5_K_M,285,0,0.0882,147
Qwen2.5-1.5B Q5_K_M,286,1,0.0924,336
Qwen2.5-1.5B Q5_K_M,287,1,0.1276,290
Qwen2.5-1.5B Q5_K_M,288,1,0.0889,213
Qwen2.5-1.5B Q5_K_M,289,1,0.1280,428
Qwen2.5-1.5B Q5_K_M,290,0,0.1340,542
Qwen2.5-1.5B Q5_K_M,291,0,0.1513,252
Qwen2.5-1.5B Q5_K_M,292,1,0.0833,170
Qwen2.5-1.5B Q5_K_M,293,1,0.0787,245
Qwen2.5-1.5B Q5_K_M,294,1,0.0785,168
Qwen2.5-1.5B Q5_K_M,295,1,0.0852,138
Qwen2.5-1.5B Q5_K_M,296,1,0.0826,300
Qwen2.5-1.5B Q5_K_M,297,1,0.0879,232
Qwen2.5-1.5B Q5_K_M,298,1,0.1434,492
Qwen2.5-1.5B Q5_K_M,299,0,0.1308,493
Qwen2.5-1.5B Q5_K_M,300,0,0.0897,225
Qwen2.5-1.5B Q5_K_M,301,1,0.1273,223
Qwen2.5-1.5B Q5_K_M,302,1,0.0897,210
Qwen2.5-1.5B Q5_K_M,303,1,0.0927,322
Qwen2.5-1.5B Q5_K_M,304,0,0.0899,232
Qwen2.5-1.5B Q5_K_M,305,1,0.0875,134
Qwen2.5-1.5B Q5_K_M,306,1,0.0910,272
